What are the Pokemon (up to Gen 3) in each habitat?
Location,Pokemon
mountain,machamp
mountain,graveler
mountain,golem
mountain,cubone
mountain,aerodactyl
mountain,marowak
mountain,magmar
mountain,snorlax
mountain,cleffa
mountain,gligar
mountain,shuckle
mountain,teddiursa
mountain,slugma
mountain,delibird
mountain,magby
mountain,larvitar
mountain,ursaring
mountain,magcargo
mountain,pupitar
mountain,tyranitar
mountain,makuhita
mountain,aron
mountain,meditite
mountain,numel
mountain,torkoal
mountain,spoink
mountain,spinda
mountain,hariyama
mountain,lairon
mountain,aggron
mountain,medicham
mountain,camerupt
mountain,grumpig
mountain,absol
mountain,jirachi
rare,articuno
rare,zapdos
rare,moltres
rare,mewtwo
rare,mew
rare,unown
rare,lugia
rare,ho-oh
rare,rayquaza
rare,deoxys
rough-terrain,spearow
rough-terrain,sandshrew
rough-terrain,magnemite
rough-terrain,fearow
rough-terrain,sandslash
rough-terrain,magneton
rough-terrain,rhyhorn
rough-terrain,rhydon
rough-terrain,skarmory
rough-terrain,houndour
rough-terrain,phanpy
rough-terrain,houndoom
rough-terrain,donphan
rough-terrain,trapinch
rough-terrain,cacnea
rough-terrain,vibrava
rough-terrain,flygon
rough-terrain,cacturne
rough-terrain,baltoy
rough-terrain,bagon
rough-terrain,beldum
rough-terrain,groudon
rough-terrain,claydol
rough-terrain,shelgon
rough-terrain,salamence
rough-terrain,metang
rough-terrain,metagross
sea,tentacool
sea,tentacruel
sea,seel
sea,shellder
sea,horsea
sea,staryu
sea,lapras
sea,omanyte
sea,kabuto
sea,dewgong
sea,seadra
sea,starmie
sea,omastar
sea,kabutops
sea,chinchou
sea,qwilfish
sea,corsola
sea,remoraid
sea,lanturn
sea,octillery
sea,mantine
sea,kingdra
sea,wingull
sea,carvanha
sea,wailmer
sea,pelipper
sea,sharpedo
sea,wailord
sea,lileep
sea,spheal
sea,clamperl
sea,relicanth
sea,luvdisc
sea,kyogre
sea,cradily
sea,sealeo
sea,walrein
sea,huntail
sea,gorebyss
sea,cloyster
urban,meowth
urban,abra
urban,persian
urban,kadabra
urban,alakazam
urban,grimer
urban,voltorb
urban,koffing
urban,ditto
urban,eevee
urban,porygon
urban,muk
urban,hitmonlee
urban,hitmonchan
urban,weezing
urban,chansey
urban,mr-mime
urban,jynx
urban,vaporeon
urban,jolteon
urban,flareon
urban,snubbull
urban,smeargle
urban,tyrogue
urban,smoochum
urban,espeon
urban,umbreon
urban,granbull
urban,porygon2
urban,hitmontop
urban,blissey
urban,ralts
urban,kirlia
urban,gardevoir
urban,shuppet
urban,banette
urban,electrode
waters-edge,squirtle
waters-edge,psyduck
waters-edge,poliwag
waters-edge,slowpoke
waters-edge,blastoise
waters-edge,golduck
waters-edge,poliwhirl
waters-edge,poliwrath
waters-edge,slowbro
waters-edge,krabby
waters-edge,goldeen
waters-edge,magikarp
waters-edge,dratini
waters-edge,totodile
waters-edge,seaking
waters-edge,gyarados
waters-edge,dragonair
waters-edge,dragonite
waters-edge,croconaw
waters-edge,feraligatr
waters-edge,wooper
waters-edge,marill
waters-edge,azumarill
waters-edge,politoed
waters-edge,quagsire
waters-edge,slowking
waters-edge,mudkip
waters-edge,lotad
waters-edge,surskit
waters-edge,azurill
waters-edge,marshtomp
waters-edge,swampert
waters-edge,lombre
waters-edge,ludicolo
waters-edge,barboach
waters-edge,corphish
waters-edge,anorith
waters-edge,feebas
waters-edge,latias
waters-edge,latios
waters-edge,whiscash
waters-edge,crawdaunt
waters-edge,armaldo
waters-edge,milotic
waters-edge,wartortle
waters-edge,kingler
waters-edge,masquerain
